公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,薪资,职位福利,经营范围,职位类型,公司福利,第二职位类型,城市
上海意臣信息科技有限公司,意臣信息,150-500人,未融资,徐汇区,BI实习生/数据分析实习生,在校/应届,本科,3k-5k,转正机会,"移动互联网,电商",开发|测试|运维类,"['年底双薪', '技能培训', '专项奖金', '带薪年假']",数据开发,上海
上海只二网络科技有限公司,只二,150-500人,B轮,徐汇区,BI-数据分析实习生（电商直播业务方向）,在校/应届,本科,3k-6k,留用机会 各类补贴,"移动互联网,电商",开发|测试|运维类,"['高于行业薪资', '职位晋升', '扁平管理', '餐补、租房补']",数据开发,上海
杭州青塔科技有限公司,青塔,50-150人,A轮,拱墅区,数据分析实习生,在校/应届,本科,3k-4k,留用转正 公司快速发展 盈利模式成熟,"移动互联网,数据服务",产品|需求|项目类,"['午餐补助', '定期体检', '扁平管理', '年底双薪']",数据分析,杭州
算话智能科技有限公司,算话智能科技有限公司,50-150人,B轮,青浦区,数据分析实习(可留用),不限,不限,3k-5k,优秀团队、股票期权、绩效奖金、福利补贴,"数据服务,移动互联网",产品|需求|项目类,"['股票期权', '交通补助', '绩效奖金', '优秀团队']",数据分析,上海
中国科学院信息工程研究所,信工所,500-2000人,不需要融资,朝阳区,大数据分析实习生,在校/应届,硕士,3k-4k,留所机会（北京户口）、TB级数据,通讯电子,开发|测试|运维类,[],数据开发,北京
上海只二网络科技有限公司,只二,150-500人,B轮,徐汇区,BI-数据分析实习生（电商直播业务方向）,在校/应届,本科,3k-6k,留用机会 各类补贴,"移动互联网,电商",产品|需求|项目类,"['高于行业薪资', '职位晋升', '扁平管理', '餐补、租房补']",数据分析,上海
北京才如大海科技有限公司,水滴 WATERDROP INC,2000人以上,D轮及以上,朝阳区,数据分析实习生,不限,本科,4k-5k,地铁周边 五险一金 补充医疗,金融,产品|需求|项目类,"['网络互助', '五险一金', '带薪年假', '股票期权']",数据分析,北京
北京易观智库网络科技有限公司,易观,150-500人,B轮,朝阳区,数据分析实习生,在校/应届,本科,2k-3k,大牛团队,"移动互联网,数据服务",产品|需求|项目类,"['专项奖金', '午餐补助', '技能培训', '扁平管理']",数据分析,北京
广州中国科学院软件应用技术研究所,中科院广州软件所,150-500人,不需要融资,南沙区,数据分析实习生,在校/应届,本科,2k-4k,周末双休，包住，节日福利,"移动互联网,数据服务",开发|测试|运维类,"['技能培训', '年底双薪', '节日礼物', '绩效奖金']",数据开发,广州
小船出海教育科技（北京）有限公司,作业帮,2000人以上,D轮及以上,海淀区,数据分析实习生 (MJ002457),不限,本科,2k-4k,包三餐 发展前景,工具,产品|需求|项目类,"['免费三餐', '技术氛围浓厚', '定期体检', '新鲜水果']",数据分析,北京
混沌时代（北京）教育科技有限公司,混沌大学,150-500人,不需要融资,海淀区,数据分析实习生,不限,本科,3k-4k,"弹性工作,六险一金,大牛云集,学习氛围","移动互联网,教育",产品|需求|项目类,"['弹性工作', '扁平管理', '领导好', '五险一金']",数据分析,北京
